,Buying,Maintanance,Doors,Persons,Lug_boot,Safety,Acceptability
0,3,3,2,2,0,0,0
1,3,3,2,2,0,1,0
2,3,3,2,2,0,2,0
3,3,3,2,2,1,0,0
4,3,3,2,2,1,1,0
5,3,3,2,2,1,2,0
6,3,3,2,2,2,0,0
7,3,3,2,2,2,1,0
8,3,3,2,2,2,2,0
9,3,3,2,4,0,0,0
10,3,3,2,4,0,1,0
11,3,3,2,4,0,2,0
12,3,3,2,4,1,0,0
13,3,3,2,4,1,1,0
14,3,3,2,4,1,2,0
15,3,3,2,4,2,0,0
16,3,3,2,4,2,1,0
17,3,3,2,4,2,2,0
18,3,3,2,6,0,0,0
19,3,3,2,6,0,1,0
20,3,3,2,6,0,2,0
21,3,3,2,6,1,0,0
22,3,3,2,6,1,1,0
23,3,3,2,6,1,2,0
24,3,3,2,6,2,0,0
25,3,3,2,6,2,1,0
26,3,3,2,6,2,2,0
27,3,3,3,2,0,0,0
28,3,3,3,2,0,1,0
29,3,3,3,2,0,2,0
30,3,3,3,2,1,0,0
31,3,3,3,2,1,1,0
32,3,3,3,2,1,2,0
33,3,3,3,2,2,0,0
34,3,3,3,2,2,1,0
35,3,3,3,2,2,2,0
36,3,3,3,4,0,0,0
37,3,3,3,4,0,1,0
38,3,3,3,4,0,2,0
39,3,3,3,4,1,0,0
40,3,3,3,4,1,1,0
41,3,3,3,4,1,2,0
42,3,3,3,4,2,0,0
43,3,3,3,4,2,1,0
44,3,3,3,4,2,2,0
45,3,3,3,6,0,0,0
46,3,3,3,6,0,1,0
47,3,3,3,6,0,2,0
48,3,3,3,6,1,0,0
49,3,3,3,6,1,1,0
50,3,3,3,6,1,2,0
51,3,3,3,6,2,0,0
52,3,3,3,6,2,1,0
53,3,3,3,6,2,2,0
54,3,3,4,2,0,0,0
55,3,3,4,2,0,1,0
56,3,3,4,2,0,2,0
57,3,3,4,2,1,0,0
58,3,3,4,2,1,1,0
59,3,3,4,2,1,2,0
60,3,3,4,2,2,0,0
61,3,3,4,2,2,1,0
62,3,3,4,2,2,2,0
63,3,3,4,4,0,0,0
64,3,3,4,4,0,1,0
65,3,3,4,4,0,2,0
66,3,3,4,4,1,0,0
67,3,3,4,4,1,1,0
68,3,3,4,4,1,2,0
69,3,3,4,4,2,0,0
70,3,3,4,4,2,1,0
71,3,3,4,4,2,2,0
72,3,3,4,6,0,0,0
73,3,3,4,6,0,1,0
74,3,3,4,6,0,2,0
75,3,3,4,6,1,0,0
76,3,3,4,6,1,1,0
77,3,3,4,6,1,2,0
78,3,3,4,6,2,0,0
79,3,3,4,6,2,1,0
80,3,3,4,6,2,2,0
81,3,3,5,2,0,0,0
82,3,3,5,2,0,1,0
83,3,3,5,2,0,2,0
84,3,3,5,2,1,0,0
85,3,3,5,2,1,1,0
86,3,3,5,2,1,2,0
87,3,3,5,2,2,0,0
88,3,3,5,2,2,1,0
89,3,3,5,2,2,2,0
90,3,3,5,4,0,0,0
91,3,3,5,4,0,1,0
92,3,3,5,4,0,2,0
93,3,3,5,4,1,0,0
94,3,3,5,4,1,1,0
95,3,3,5,4,1,2,0
96,3,3,5,4,2,0,0
97,3,3,5,4,2,1,0
98,3,3,5,4,2,2,0
99,3,3,5,6,0,0,0
100,3,3,5,6,0,1,0
101,3,3,5,6,0,2,0
102,3,3,5,6,1,0,0
103,3,3,5,6,1,1,0
104,3,3,5,6,1,2,0
105,3,3,5,6,2,0,0
106,3,3,5,6,2,1,0
107,3,3,5,6,2,2,0
108,3,2,2,2,0,0,0
109,3,2,2,2,0,1,0
110,3,2,2,2,0,2,0
111,3,2,2,2,1,0,0
112,3,2,2,2,1,1,0
113,3,2,2,2,1,2,0
114,3,2,2,2,2,0,0
115,3,2,2,2,2,1,0
116,3,2,2,2,2,2,0
117,3,2,2,4,0,0,0
118,3,2,2,4,0,1,0
119,3,2,2,4,0,2,0
120,3,2,2,4,1,0,0
121,3,2,2,4,1,1,0
122,3,2,2,4,1,2,0
123,3,2,2,4,2,0,0
124,3,2,2,4,2,1,0
125,3,2,2,4,2,2,0
126,3,2,2,6,0,0,0
127,3,2,2,6,0,1,0
128,3,2,2,6,0,2,0
129,3,2,2,6,1,0,0
130,3,2,2,6,1,1,0
131,3,2,2,6,1,2,0
132,3,2,2,6,2,0,0
133,3,2,2,6,2,1,0
134,3,2,2,6,2,2,0
135,3,2,3,2,0,0,0
136,3,2,3,2,0,1,0
137,3,2,3,2,0,2,0
138,3,2,3,2,1,0,0
139,3,2,3,2,1,1,0
140,3,2,3,2,1,2,0
141,3,2,3,2,2,0,0
142,3,2,3,2,2,1,0
143,3,2,3,2,2,2,0
144,3,2,3,4,0,0,0
145,3,2,3,4,0,1,0
146,3,2,3,4,0,2,0
147,3,2,3,4,1,0,0
148,3,2,3,4,1,1,0
149,3,2,3,4,1,2,0
150,3,2,3,4,2,0,0
151,3,2,3,4,2,1,0
152,3,2,3,4,2,2,0
153,3,2,3,6,0,0,0
154,3,2,3,6,0,1,0
155,3,2,3,6,0,2,0
156,3,2,3,6,1,0,0
157,3,2,3,6,1,1,0
158,3,2,3,6,1,2,0
159,3,2,3,6,2,0,0
160,3,2,3,6,2,1,0
161,3,2,3,6,2,2,0
162,3,2,4,2,0,0,0
163,3,2,4,2,0,1,0
164,3,2,4,2,0,2,0
165,3,2,4,2,1,0,0
166,3,2,4,2,1,1,0
167,3,2,4,2,1,2,0
168,3,2,4,2,2,0,0
169,3,2,4,2,2,1,0
170,3,2,4,2,2,2,0
171,3,2,4,4,0,0,0
172,3,2,4,4,0,1,0
173,3,2,4,4,0,2,0
174,3,2,4,4,1,0,0
175,3,2,4,4,1,1,0
176,3,2,4,4,1,2,0
177,3,2,4,4,2,0,0
178,3,2,4,4,2,1,0
179,3,2,4,4,2,2,0
180,3,2,4,6,0,0,0
181,3,2,4,6,0,1,0
182,3,2,4,6,0,2,0
183,3,2,4,6,1,0,0
184,3,2,4,6,1,1,0
185,3,2,4,6,1,2,0
186,3,2,4,6,2,0,0
187,3,2,4,6,2,1,0
188,3,2,4,6,2,2,0
189,3,2,5,2,0,0,0
190,3,2,5,2,0,1,0
191,3,2,5,2,0,2,0
192,3,2,5,2,1,0,0
193,3,2,5,2,1,1,0
194,3,2,5,2,1,2,0
195,3,2,5,2,2,0,0
196,3,2,5,2,2,1,0
197,3,2,5,2,2,2,0
198,3,2,5,4,0,0,0
199,3,2,5,4,0,1,0
200,3,2,5,4,0,2,0
201,3,2,5,4,1,0,0
202,3,2,5,4,1,1,0
203,3,2,5,4,1,2,0
204,3,2,5,4,2,0,0
205,3,2,5,4,2,1,0
206,3,2,5,4,2,2,0
207,3,2,5,6,0,0,0
208,3,2,5,6,0,1,0
209,3,2,5,6,0,2,0
210,3,2,5,6,1,0,0
211,3,2,5,6,1,1,0
212,3,2,5,6,1,2,0
213,3,2,5,6,2,0,0
214,3,2,5,6,2,1,0
215,3,2,5,6,2,2,0
216,3,1,2,2,0,0,0
217,3,1,2,2,0,1,0
218,3,1,2,2,0,2,0
219,3,1,2,2,1,0,0
220,3,1,2,2,1,1,0
221,3,1,2,2,1,2,0
222,3,1,2,2,2,0,0
223,3,1,2,2,2,1,0
224,3,1,2,2,2,2,0
225,3,1,2,4,0,0,0
226,3,1,2,4,0,1,0
227,3,1,2,4,0,2,1
228,3,1,2,4,1,0,0
229,3,1,2,4,1,1,0
230,3,1,2,4,1,2,1
231,3,1,2,4,2,0,0
232,3,1,2,4,2,1,1
233,3,1,2,4,2,2,1
234,3,1,2,6,0,0,0
235,3,1,2,6,0,1,0
236,3,1,2,6,0,2,0
237,3,1,2,6,1,0,0
238,3,1,2,6,1,1,0
239,3,1,2,6,1,2,1
240,3,1,2,6,2,0,0
241,3,1,2,6,2,1,1
242,3,1,2,6,2,2,1
243,3,1,3,2,0,0,0
244,3,1,3,2,0,1,0
245,3,1,3,2,0,2,0
246,3,1,3,2,1,0,0
247,3,1,3,2,1,1,0
248,3,1,3,2,1,2,0
249,3,1,3,2,2,0,0
250,3,1,3,2,2,1,0
251,3,1,3,2,2,2,0
252,3,1,3,4,0,0,0
253,3,1,3,4,0,1,0
