,Lat,Long,Venue_Type,Venue_Name,Created_On_Epoch,Created_On,Quarter,Year,Month,latlong,Country,City
0,10.37764401,-75.49658239,food,QUESOS NENECO,1564682328,8/1/2019,Quarter 3,2019,8,"(10.37764401, -75.49658239)",CO,Cartagena
1,40.64749893,22.92016268,default,Ταπετσαρίες αυτοκινήτων - ΚΑΡΑΜΠΕΡΗΣ ΧΡΗΣΤΟΣ,1530718484,7/4/2018,Quarter 3,2018,7,"(40.64749893, 22.92016268)",GR,Ampelokipoi
2,42.00052447,12.56463647,food,AZIENDA AGRICOLA FORTUNATO,1551976752,3/7/2019,Quarter 1,2019,3,"(42.00052447, 12.56463647)",IT,Tor Lupara
3,-23.55804222,-46.66009963,shopping,KriptoBR,1534775809,8/20/2018,Quarter 3,2018,8,"(-23.55804222, -46.66009963)",BR,Sao Paulo
4,45.53996976,13.73485208,shopping,"Buzz, Planet Koper",1574094032,11/18/2019,Quarter 4,2019,11,"(45.53996976, 13.73485208)",SI,Koper
5,10.18113243,-68.00502777,default,Soporte PC y Criptomonedas,1551983266,3/7/2019,Quarter 1,2019,3,"(10.18113243, -68.00502777)",VE,Valencia
6,22.32632341,114.2056757,food,Wandersnack,1564727493,8/2/2019,Quarter 3,2019,8,"(22.32632341, 114.2056757)",HK,Kowloon
7,46.06830686,14.54380095,default,Clarus Dental,1571312234,10/17/2019,Quarter 4,2019,10,"(46.06830686, 14.54380095)",SI,Ljubljana
8,46.05613139,14.5081383,cafe,Trot Bar,1571312941,10/17/2019,Quarter 4,2019,10,"(46.05613139, 14.5081383)",SI,Ljubljana
9,33.49160726,49.05252814,default,فروشگاه پرکنی,1540247322,10/22/2018,Quarter 4,2018,10,"(33.49160726, 49.05252814)",IR,Dorud
10,7.821303606,-72.45497346,atm,Athena Bitcoin Cajero,1552056980,3/8/2019,Quarter 1,2019,3,"(7.821303606, -72.45497346)",VE,San Antonio del Tachira
11,7.685070484,-72.24411964,default,REPRESENTACIONES PLAST ,1530729864,7/4/2018,Quarter 3,2018,7,"(7.685070484, -72.24411964)",VE,San Josecito
12,7.771344184,-72.22617029999999,default,COMERCIALIZADORA PIVECA CA,1530730169,7/4/2018,Quarter 3,2018,7,"(7.771344184, -72.22617029999999)",VE,San Cristobal
13,22.28473335,114.1509104,default,Bitcoin ATM,1564732529,8/2/2019,Quarter 3,2019,8,"(22.28473335, 114.1509104)",HK,Hong Kong
14,46.0729143,14.46878493,default,Avtoservis Belec,1544179564,12/7/2018,Quarter 4,2018,12,"(46.0729143, 14.46878493)",SI,Ljubljana
15,46.54048785,15.60733438,food,Mlada lipa,1544179669,12/7/2018,Quarter 4,2018,12,"(46.54048785, 15.60733438)",SI,Pekre
16,21.88233782,-102.29219909999999,cafe,Cafetería Petrona,1536940505,9/14/2018,Quarter 3,2018,9,"(21.88233782, -102.29219909999999)",MX,Aguascalientes
17,52.364175200000005,4.8878505,default,?,1546611573,1/4/2019,Quarter 1,2019,1,"(52.364175200000005, 4.8878505)",NL,Amsterdam
18,37.31029835,49.58810627,food,Nourcastle Restaurant Chain,1536600108,9/10/2018,Quarter 3,2018,9,"(37.31029835, 49.58810627)",IR,Rasht
19,52.38144446,4.6359139680000006,default,All Crypto Whitepapers,1534776476,8/20/2018,Quarter 3,2018,8,"(52.38144446, 4.6359139680000006)",NL,Haarlem
20,46.05076306,14.50231254,food,Surf'n'Fries,1571313885,10/17/2019,Quarter 4,2019,10,"(46.05076306, 14.50231254)",SI,Ljubljana
